Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1985, 6.273053159808404, 1.6737853959512934, 8.343062070641295, 1.886942754325012, 10.570681118561335, 2.147367650490678
1986, 6.390811898426532, 1.7103405353315997, 8.611647770899712, 1.893035558171266, 11.070035114904256, 2.1291587331472805
1987, 6.5184362778216896, 1.7600120835691067, 8.907477141556464, 1.8811506393094177, 11.695520102955864, 2.0822700142707853
1988, 6.64992619169508, 1.8301334328615242, 9.15475876876239, 1.8371705962767095, 12.409745544461506, 2.073639511289289
1989, 6.695642705081164, 1.8404950307473904, 9.639802349838087, 1.8733387339914631, 13.072857505544176, 2.087584863049307
1990, 6.7333198542767025, 1.8490394176978662, 10.242978027597752, 1.9720989450033524, 13.690057494507585, 2.1964332890710403
1991, 6.706317536198183, 1.8362198735870325, 10.734561927629017, 2.0691575010211207, 14.202887107566795, 2.189776563466994
1992, 6.740368483930711, 1.842888806529465, 10.968056330808007, 2.107742464001981, 14.497190697637443, 2.2996015436723516
1993, 6.751052392034091, 1.841028845681942, 11.182731016133994, 2.175473911852219, 14.865634739790302, 2.4075184043639313
1994, 6.785094913390113, 1.846085612268865, 11.415701891656687, 2.2554195035641356, 15.620346985732258, 2.511469533673635
1995, 6.825244068082686, 1.8552497130860208, 11.69299007936085, 2.362927011234525, 16.398013814916116, 2.5970497030954074
1996, 6.9380268112160834, 1.910880390896044, 12.10594333254529, 2.4425834180882466, 16.94463700796109, 2.7135110075491378
1997, 7.0079508666606385, 1.954499198491915, 12.61493402848836, 2.5158827946534745, 17.359520935079527, 2.6510174837114473
1998, 7.116599987845573, 1.9925493532998366, 13.068942185009982, 2.566830033148639, 17.921173169483303, 2.6854664738673546
1999, 7.302954178653828, 2.076953362195425, 13.57771173615987, 2.64697223110579, 18.490856529686855, 2.73808467398701
2000, 7.480035171218321, 2.1511344995991144, 14.0550347975426, 2.7553947979533584, 19.00481981418546, 2.822984477032628
2001, 7.660984367078434, 2.2248366808274396, 14.535673282830421, 2.8969496107213604, 19.61188776884205, 2.908627720427139
2002, 7.815196687099833, 2.2856316915540282, 14.974444035519758, 3.0226188296201597, 20.055055326239685, 3.020110796787293
2003, 7.935238530810304, 2.3415971744581188, 15.258854008504205, 3.1035514377920155, 20.603929765918174, 3.2284291436495556
2004, 8.081012316659258, 2.4125117086272665, 15.476968561543524, 3.166125710338457, 21.027529518406183, 3.3727515410794453
2005, 8.272599782701297, 2.479091555164494, 15.696810528797798, 3.2301090491413658, 21.251536781866353, 3.466808092278597
2006, 8.497434381642103, 2.5214571319201964, 15.92648003980587, 3.2977316344057757, 21.593256433222685, 3.52534141016612
2007, 8.696962787373655, 2.5520895668573247, 16.156216043343097, 3.362495865682684, 22.346038791036662, 3.5462140557314186
2008, 8.849722298825736, 2.5635843639797615, 16.406023596248666, 3.4340697163534553, 23.27709939869863, 3.5448211751049636
2009, 9.015732161913425, 2.5617244896321556, 16.82768158868244, 3.3526488701945336, 23.997487839557156, 3.60019881124987
2010, 9.20212742201017, 2.5736470443263064, 17.291547306326724, 3.2870062878059856, 24.546707801122928, 3.684841169307974
2011, 9.439707717975093, 2.635317853734275, 17.526726512818637, 3.3604262898728665, 25.11286332609455, 3.695538767796677
2012, 9.675053078179515, 2.6939308562905047, 17.75119929459742, 3.4320758689952973, 25.66320120885426, 3.71052721524843
2013, 9.917869671990282, 2.75940923435417, 17.991469596060043, 3.5090534432872804, 26.229355303314417, 3.74315540615096
2014, 10.162605136756751, 2.8276850976735215, 18.230968128386472, 3.587039815791389, 26.794546576007832, 3.7866631912787345
2015, 10.293124612857396, 2.842284611968133, 18.289225681130823, 3.5928118263593065, 27.157879892574904, 3.7254382278565346
2016, 10.393696003411552, 2.8292644287901485, 18.460265235370542, 3.669291312754347, 27.452791368474266, 3.651271966786241
2017, 10.594984342474927, 2.8784880895232217, 18.57799811465299, 3.790978765037336, 27.93240762495224, 3.703206928742644
2018, 10.711768673245146, 2.9907595872226658, 18.63466083783802, 3.8748251970441703, 28.263932565207067, 3.84559696467954
2019, 10.837212117213891, 3.092877163761274, 18.8071872098251, 3.9277489220885813, 28.614216906977035, 4.00085445993387
2020, 11.047085670892127, 3.1510922683852627, 19.047457797390013, 4.008298723826248, 29.180372193530076, 4.103956417144899
