Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1960, 0.07541748342387973, 0.010736037758842406, 0.08129558381832264, 0.011363834100011218, 0.1016495557005696, 0.012790468852860396
1961, 0.07393113399341432, 0.01097363304255251, 0.0800056457517706, 0.011946084742164511, 0.10336534460699913, 0.012778021095284517
1962, 0.07179391475634134, 0.01070159478018749, 0.07761377019887815, 0.012050932753381332, 0.10302743523744344, 0.012374748897743607
1963, 0.07103864178449763, 0.010339330209025725, 0.07734777258284048, 0.01153200923156008, 0.1075675251774949, 0.013070003467176051
1964, 0.07125390124676288, 0.010397453167364755, 0.08249993219929395, 0.012845623719392405, 0.10832901105837395, 0.01335298922884027
1965, 0.07146060105235356, 0.010420007116767568, 0.08630867012797687, 0.014321414328135046, 0.1088106299680658, 0.013663233801930852
1966, 0.0721093533936221, 0.010398688609296564, 0.08698441652453848, 0.014342332289060788, 0.10897905805562551, 0.013543443240802212
1967, 0.07350115188497888, 0.010750712625606451, 0.08850619694963476, 0.015245926454061991, 0.10951276092557354, 0.013245905395588313
1968, 0.0723249906958447, 0.013356587302094245, 0.08927418051441383, 0.015617971649773061, 0.11270842914295683, 0.013565496213346228
1969, 0.07322501031504926, 0.013878198713738871, 0.0922697923422815, 0.01790300053711352, 0.11351625787536634, 0.013852996423547296
1970, 0.07415937202954091, 0.014723264485910707, 0.09502282124311229, 0.019373567170139095, 0.11469670253115659, 0.013072255510920377
1971, 0.0751963973722551, 0.01548904762433614, 0.09441963258536319, 0.019719059303785928, 0.11727245314839492, 0.013065593491568302
1972, 0.0759591654511014, 0.015858594616665157, 0.09434878947398144, 0.019839024764748775, 0.11561203018149019, 0.013080464719753021
1973, 0.0772415326365484, 0.016862143398098228, 0.09449592660897378, 0.01980675019070773, 0.11598915812178663, 0.012925665498467397
1974, 0.07573931213799491, 0.016601578050660874, 0.09068671102272956, 0.019037801254179608, 0.11198385409364671, 0.011711202590061462
1975, 0.07359992278730375, 0.015941861372138197, 0.08749167050593236, 0.01826274794777235, 0.10786611695126837, 0.01102335915506893
1976, 0.07147559661574895, 0.014695195858283825, 0.08431987901708594, 0.017751772966220106, 0.10308614026765077, 0.010901370444327152
1977, 0.07064374500425549, 0.013571149928790492, 0.08269969363380271, 0.01695841119126807, 0.09854208859471497, 0.011117110082207853
1978, 0.07118724885579912, 0.013284617566544917, 0.0829920804588552, 0.016766067251460758, 0.09854037925939026, 0.01055690170345182
1979, 0.06956945137271203, 0.013058033764389585, 0.08175875720862857, 0.017205664144688698, 0.10470624082678404, 0.01300992488920097
1980, 0.06861013724944964, 0.013265656599671294, 0.08270057803814616, 0.01869769590440384, 0.11027973586261065, 0.014335209007738341
1981, 0.06942722357688375, 0.01312671243310549, 0.08476471362918557, 0.019401436878894906, 0.11083234235536814, 0.014218591395118446
1982, 0.07040215806973985, 0.012987546547531701, 0.08522335823656117, 0.019436950610979036, 0.1123931894439885, 0.014189529763972756
1983, 0.07114046581267111, 0.012985424897877884, 0.08591776342680517, 0.019455187396988295, 0.11236176279486036, 0.014209254648491371
1984, 0.07134322681570623, 0.012741056984289968, 0.0863529616432469, 0.019724717197685357, 0.11036489215553803, 0.014578341245567106
1985, 0.07207641799658894, 0.012635822853628602, 0.08745120813698726, 0.019905705167417978, 0.10963417846779015, 0.014215076640057256
1986, 0.07111088493715931, 0.013304321841210961, 0.08617109744115696, 0.020864968436332534, 0.10954690238246689, 0.014206214957535252
1987, 0.07192277090959506, 0.013472648250757682, 0.08698012186570654, 0.020787903129761243, 0.1166289604923056, 0.016251027035570083
1988, 0.0729313794883754, 0.014269186114861, 0.08736380534598076, 0.02066282723854548, 0.12255660393674854, 0.018027605852833358
1989, 0.07347026370693302, 0.015134929526989272, 0.08731359717756258, 0.020489205440832207, 0.12194640880313051, 0.01817981334307203
1990, 0.0729856302331041, 0.01563108407733543, 0.08636250451007932, 0.020297852642014187, 0.11974985094997666, 0.018601012722292355
1991, 0.07335995047842778, 0.01634834568600758, 0.08376345703591064, 0.019703793146476155, 0.11378988441073684, 0.01912696435750243
1992, 0.07348457504007719, 0.017254266093705922, 0.08135271279857718, 0.019559210745779345, 0.10785938766322951, 0.01979688297937062
1993, 0.07499943835256673, 0.0181428583783216, 0.08164877006655454, 0.019612994641552448, 0.10788537493464839, 0.019717412776949758
1994, 0.07669722068302691, 0.01903487881450143, 0.08195244020818938, 0.01971499640652158, 0.10873261819359627, 0.01955175857953299
1995, 0.07768506315832945, 0.019983404757894542, 0.08255322040906074, 0.01977087143993662, 0.11039213368393476, 0.01986836158242501
1996, 0.07718889812113212, 0.020634553162775345, 0.08188704849866225, 0.020071095660484532, 0.1100207048449164, 0.02127280482522118
1997, 0.0773575109236088, 0.021687208679271465, 0.07932603866830487, 0.020192804500056293, 0.10599076861960464, 0.02305883673395461
1998, 0.07842752365123722, 0.02267932358695588, 0.07889446602142063, 0.020348729169328887, 0.11162693560650606, 0.024616444672304335
1999, 0.07894913721078033, 0.023240271072281805, 0.07989929167532099, 0.02013750763949542, 0.11572317306267292, 0.025581408233639084
2000, 0.07775605107892056, 0.02337788863343464, 0.07976223810375883, 0.01958278762746204, 0.11433823494127264, 0.026078604693423206
2001, 0.07843844299625526, 0.02450633502190678, 0.07973021412045665, 0.019691723815880535, 0.11735550880986904, 0.028142000733570056
2002, 0.07896893463949418, 0.02570051419228743, 0.07985815687735777, 0.01978124077233951, 0.11963948767368254, 0.02886983143109279
