Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1960, 0.06547441523059833, 0.0204924330811643, 0.08377036616276172, 0.03607358030363643, 0.040496899366349946, 0.010972315084682903
1961, 0.06575531478153665, 0.02074314406699159, 0.08377333281182289, 0.03605843950567271, 0.04076853185569498, 0.01082655869796445
1962, 0.06592025296388013, 0.02100186654342337, 0.08371470647607733, 0.03602053005177432, 0.04078405525275536, 0.010835432381472198
1963, 0.06608936373953553, 0.021267951836041486, 0.08379205384844993, 0.03613086483471245, 0.04127979830332881, 0.0112892311244558
1964, 0.06643810288422067, 0.021538876696874223, 0.08454846640722788, 0.0367252492008851, 0.04137414093780767, 0.011321829772077146
1965, 0.06658152163907008, 0.0216329739359306, 0.08456083793976124, 0.03673049373138146, 0.041534884524877, 0.01137067159448152
1966, 0.066735594407035, 0.0216441510162634, 0.084680601647692, 0.036691841061012836, 0.04267451585007577, 0.011283840958263623
1967, 0.06676047307136433, 0.021601480140857377, 0.08471685723773074, 0.03662796718264719, 0.043216587774977715, 0.011268961109258707
1968, 0.0669455261895186, 0.021364499520928445, 0.08459983794505475, 0.0366331540416455, 0.04327579572127742, 0.011185773975967584
1969, 0.06545784997928612, 0.021072747908658204, 0.08282447856118341, 0.03723587896198173, 0.04562488751396875, 0.010501649534761508
1970, 0.06613176187033276, 0.020871061921100876, 0.08330189430443118, 0.037648421067186036, 0.0486402937287429, 0.011015223553444775
1971, 0.06464633832065139, 0.020685731333506627, 0.08102015747096608, 0.0378181773537209, 0.04691307511301474, 0.011290702096066954
1972, 0.06519448479092796, 0.02059831649328689, 0.08093902546461004, 0.037759681511302996, 0.048442491260007915, 0.011763766090131625
1973, 0.06609237844829811, 0.02062572056991192, 0.08108657073960909, 0.03773327676252156, 0.05879143223146412, 0.01728668217328028
1974, 0.06671321621383182, 0.020608565370923013, 0.08132035829920096, 0.03766216341451306, 0.06665545624235905, 0.02126466086280908
1975, 0.06653851045445251, 0.02052135915639082, 0.08276935323289841, 0.037517374970442385, 0.0672288084713082, 0.021668695132972902
1976, 0.0662567586656253, 0.02043064846560737, 0.08341926411834089, 0.037471512431552306, 0.06720282846312271, 0.02177789099326092
1977, 0.06630534825003041, 0.020417211819057812, 0.08393025864475614, 0.03742461195057123, 0.06822623438040179, 0.021644444617669765
1978, 0.06662993611930891, 0.02035929943123208, 0.08407821736613663, 0.03736472160635306, 0.06945478543933022, 0.02135296893479239
1979, 0.06414387786256749, 0.020509365814506766, 0.08221637771194325, 0.03670657510149763, 0.06628619972481886, 0.01997838002507123
1980, 0.06369216976519215, 0.020513043152189225, 0.08395205568536354, 0.036377228577987065, 0.06684314508665938, 0.020590116005228323
1981, 0.06289472361759316, 0.020482122354847157, 0.08705856414166914, 0.03567554981203997, 0.0669965171199134, 0.021205263264189835
1982, 0.0621216018719385, 0.020483849391257115, 0.08974637469542057, 0.0354847086901329, 0.06889103201789042, 0.020637357437957055
1983, 0.06276381569779768, 0.020518591276731966, 0.08981557653850547, 0.0355193531663435, 0.07783933091399921, 0.021092165375065055
1984, 0.06121876123488406, 0.02085288531843839, 0.08740516834178655, 0.034681047600491316, 0.08998492265032891, 0.021447986521443873
1985, 0.06189230368362699, 0.020957073501887014, 0.08744686595420662, 0.03467169579434992, 0.09022728950630012, 0.021465440277676454
1986, 0.061762790565874484, 0.0209718432922093, 0.08710623370739165, 0.03474638104925424, 0.09054618560888822, 0.022026692509999297
1987, 0.0609584805623508, 0.021001059754047906, 0.08654099999703427, 0.034964857869047544, 0.09057772843627994, 0.022350686263027445
1988, 0.061169147671506975, 0.02103344222760413, 0.08655092814767588, 0.03496435986201203, 0.09284265655987063, 0.02321079399389053
1989, 0.06187868763288802, 0.02121285576037869, 0.08677142580334767, 0.035182671780423516, 0.0976537118986695, 0.02677638059136767
1990, 0.06268610879481155, 0.0214252059654055, 0.09072460548465476, 0.03536035694066344, 0.10004657954253704, 0.02841259714085543
1991, 0.06230808136583476, 0.02119406110443583, 0.0960756538069818, 0.03611908366252249, 0.10128404683529657, 0.028266165352869077
1992, 0.061464473197178474, 0.02175574557362144, 0.10329542864945354, 0.04074561035506514, 0.1051973670788909, 0.02769498129203831
1993, 0.062238004749642604, 0.022126487361905502, 0.10722854008867405, 0.043602745825283735, 0.11121976252802136, 0.028406066647975074
1994, 0.06219092978756136, 0.02270051783769601, 0.1105578095502341, 0.04679098243789787, 0.11689519580363758, 0.03273493720234407
1995, 0.06294416430987568, 0.023169878652912063, 0.1122810195151615, 0.04796479383029267, 0.12355064487866078, 0.037325945712814355
1996, 0.06392148692715413, 0.023666449266987164, 0.11239163981817189, 0.04795590269257389, 0.12589877084519327, 0.03843727547857909
1997, 0.06353490895254175, 0.024079063627160086, 0.11163865442662095, 0.04802747114778006, 0.12821309484801324, 0.037357646530378166
1998, 0.06370030521132565, 0.024414925059186087, 0.11146186517497692, 0.047779251200505066, 0.14212472977171717, 0.030690775147901545
1999, 0.06336784527817436, 0.024466044817693523, 0.1111671342622472, 0.04766768248140937, 0.1507656794917933, 0.028789193173914134
2000, 0.06313945368799932, 0.024480402619779372, 0.11160059672910412, 0.047454242911484285, 0.15045768721618324, 0.028710009490507817
2001, 0.06314514188589032, 0.0244544258092049, 0.11222923651598417, 0.0474098186724684, 0.15090807225111655, 0.028641305487647054
2002, 0.06322619931220251, 0.024455969082272308, 0.11253949222786441, 0.047507577086051196, 0.15398463142642227, 0.028256444394866836
