Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1989, 4.45796619853585, 1.0827482113330469, 4.665504986238869, 1.1262009236030037, 4.776162059801472, 1.1746316874658738
1990, 4.49043683411138, 1.0935454826738729, 4.68218341938634, 1.1335408268292027, 4.869404816066378, 1.1830923175850905
1991, 4.498672890956742, 1.0841249290980124, 4.680792125240226, 1.1145655430366355, 4.989228331122192, 1.2002583291204951
1992, 4.481867976906702, 1.0504517725364082, 4.661141664291605, 1.062926341497879, 4.991593732164066, 1.1555116991818395
1993, 4.528787382967109, 1.0591002234524498, 4.727313353568636, 1.0683883177602673, 5.050816764970137, 1.1756485079899537
1994, 4.5691119225133106, 1.066011483519635, 4.795438792544174, 1.090693533238075, 5.0994775868530064, 1.2216347683128352
1995, 4.564362702248986, 1.0684137172242067, 4.839268124327599, 1.1038587816866188, 5.146667984666571, 1.238394019102305
1996, 4.593377500587644, 1.0832398954591864, 4.8834828736800535, 1.1134077403883185, 5.234917310841842, 1.2419243627152816
1997, 4.632799455564986, 1.0824623801482822, 4.900405187514305, 1.0999066390904635, 5.318158504639547, 1.2073699818846009
1998, 4.683026406154199, 1.0777279141537772, 4.9274704374988385, 1.076732600149767, 5.346179228427257, 1.1806861748806623
1999, 4.7407631045241025, 1.0875835436661607, 4.982699230218911, 1.0754365241091453, 5.385154999014349, 1.1774580594176813
2000, 4.764854619887333, 1.0898413858749345, 5.048050831631672, 1.1075496673432879, 5.3926657367810975, 1.170831471901615
2001, 4.790708121213569, 1.1037145772794412, 5.13854767394122, 1.1677510337614674, 5.446594736179364, 1.2104388463927727
2002, 4.800654879755713, 1.1133807512129312, 5.205797857866223, 1.2044334537499795, 5.4877937886854085, 1.2407006120172257
2003, 4.784791412750321, 1.1193568887917873, 5.230161706584781, 1.2375794151807873, 5.516575053077313, 1.2364352266802827
2004, 4.795955098805119, 1.1206315353723393, 5.303811862874953, 1.2610298659886774, 5.567371529831007, 1.2504559109258486
2005, 4.813267246199821, 1.127853156602673, 5.365481326007952, 1.2750601477841066, 5.585125790584101, 1.2723906369624525
2006, 4.838904062322407, 1.1275145525920862, 5.402725699636525, 1.258341272359908, 5.629093997714209, 1.2978924690520879
2007, 4.863461079045768, 1.1260811284902155, 5.443969669990402, 1.2489370931780324, 5.777887127961664, 1.3766062390993374
2008, 4.852296692459251, 1.1218051278876229, 5.47203299101152, 1.2478169067944744, 5.896459700532671, 1.4073684530374635
2009, 4.857179507941684, 1.1106193258444172, 5.47502683203427, 1.2537152367570366, 5.963934627855652, 1.4164189774556282
2010, 4.8803946996795595, 1.1080471373861154, 5.472795483321387, 1.2535112073491972, 6.0085140479045105, 1.4545596062076664
2011, 4.873401089262965, 1.1021485355815754, 5.5072745368393, 1.2449091202046134, 6.0623854339457015, 1.5081411452393798
2012, 4.866055878497421, 1.0888407414246313, 5.5409820201515245, 1.2479585250214134, 6.12248163106401, 1.5598176775537678
2013, 4.858223869147418, 1.0877079663057916, 5.530531521591191, 1.2398102119393064, 6.130704799903971, 1.6187769019487626
2014, 4.870710077256547, 1.0954847372305458, 5.553268405624536, 1.2478268378884814, 6.172333309020587, 1.6806920761289657
2015, 4.897655038650673, 1.1060674685959417, 5.599220924108267, 1.2729367994050946, 6.24365365679655, 1.7589320873567724
2016, 4.941887485346297, 1.1168232303372059, 5.647080123652791, 1.2892537092942253, 6.336170548742891, 1.829240747135675
2017, 4.9683425114615325, 1.1259910952514316, 5.698113246689749, 1.2961430771330162, 6.416249143417506, 1.901690307744794
2018, 5.003378877889726, 1.13188666972397, 5.758878234655904, 1.3160783558048366, 6.502361993119891, 1.972611335628702
2019, 5.032718664387548, 1.1370708675692358, 5.790996746725749, 1.3301736580573331, 6.591873893616821, 2.044151684816687
2020, 5.036056930546899, 1.1358112232950426, 5.840803587642951, 1.35302732540495, 6.634308340418508, 2.0980677002633974
