Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1960, 0.08039860851519545, 0.0709519565551834, 0.11157815353173674, 0.09015411836030313, 0.08180111241992563, 0.06549960872544651
1961, 0.08117858044214757, 0.07131184635393951, 0.11709885189287512, 0.09745045114677708, 0.08171522118907258, 0.0652043012554067
1962, 0.08103811119802018, 0.07134969905409028, 0.12655449353924558, 0.11683981669412394, 0.08063936097623374, 0.06461054931336889
1963, 0.07960731552978138, 0.07154335578094209, 0.12730421764753033, 0.1182776338298792, 0.07859433782081619, 0.0641412443455879
1964, 0.07952698713092125, 0.0723801298342719, 0.14262679754909227, 0.12403280615909035, 0.07895037433859224, 0.06422669109603861
1965, 0.083676596542227, 0.07260761247886144, 0.14838351003022204, 0.12572510203584197, 0.07775202572633341, 0.061122869244918415
1966, 0.09388693381214945, 0.08489114237023805, 0.1489012048035273, 0.12594806197653904, 0.0796966422537353, 0.06367762102580903
1967, 0.09860310649786268, 0.09510397969102503, 0.14693877228724764, 0.12229179661297114, 0.07831252337932743, 0.061628209535858736
1968, 0.09629901378456185, 0.09544917861461498, 0.14443543758361085, 0.12246282656256285, 0.07510684942888451, 0.06249282829334677
1969, 0.09647224229219216, 0.09545039714730157, 0.1444598180118412, 0.12246327149400321, 0.07547578760776412, 0.06281334285155564
1970, 0.09552587752531048, 0.09528705929428141, 0.14451926958376132, 0.12266302221602719, 0.07583634521190091, 0.06277348223370087
1971, 0.09566640541191256, 0.09528872061266071, 0.1458957769114102, 0.12352338564346156, 0.07612440008744566, 0.0629401858333041
1972, 0.09402082452048513, 0.09544711905128118, 0.14709355220751724, 0.12356923337205646, 0.0743691508160846, 0.06235439430519334
1973, 0.09613601303547818, 0.096855300378538, 0.15343982739707196, 0.12349060716049738, 0.07475671925465577, 0.06202530911484676
1974, 0.09291998210064618, 0.09446183366965341, 0.15039758254700367, 0.12006075978446064, 0.07257352151791566, 0.05925792220147641
1975, 0.09032574932359838, 0.09245383814925967, 0.14834029756608583, 0.11839724061225546, 0.07063080168327489, 0.0569056456617882
1976, 0.08783846381306357, 0.09123171693070739, 0.14604749688300894, 0.11698926372591986, 0.07945590111208174, 0.06307605372845027
1977, 0.08790666664902294, 0.09122984723204176, 0.14650781838181048, 0.11747952775414357, 0.09334884771029466, 0.07874129551040994
1978, 0.08770827476620698, 0.09116015436684419, 0.14694807754290828, 0.1179959613585742, 0.09315624458366073, 0.07864790861303005
1979, 0.08797395970052194, 0.09129899555085393, 0.1478428371140101, 0.11860737537247051, 0.09527427114830359, 0.07964009089778011
1980, 0.08915602013528676, 0.09219464630599862, 0.14844895148530987, 0.11904364390296752, 0.10225685752954536, 0.08531894994310764
1981, 0.09033808223366567, 0.09328747616105144, 0.1485672057377435, 0.11918266852663276, 0.1054155520438129, 0.08556690968914431
1982, 0.09059627202921974, 0.09349582334155264, 0.14935024033961347, 0.11915365942838456, 0.11548329124337559, 0.08526279733204906
1983, 0.08967173345106512, 0.09302870149045363, 0.14859555799663074, 0.11879126409468425, 0.11728401685206412, 0.08586752833636416
1984, 0.08947741268156847, 0.09290806715496247, 0.1485029685298808, 0.11870073059237268, 0.11964962086805403, 0.08678806938352242
1985, 0.08928309370819394, 0.09278881286849953, 0.14851200909025786, 0.11868488695019146, 0.1234199464572236, 0.08794573979145599
1986, 0.09009328498262169, 0.09367950561221662, 0.14872913600073212, 0.11881876275532123, 0.13113777265829596, 0.09344201031542558
1987, 0.09114459138772169, 0.09495618686444612, 0.14891820573018666, 0.11894586320470893, 0.1408417997745684, 0.10283438825377232
1988, 0.09032411617093775, 0.09456213855000818, 0.1483430975480444, 0.11858141931476257, 0.1461801815072383, 0.1097007480343383
1989, 0.09043186961111013, 0.09456840144769599, 0.14940512580678725, 0.11847341775385248, 0.14707734876646886, 0.10998706028988083
1990, 0.08528717188436052, 0.09237260328694304, 0.14512471431490034, 0.11561891508332386, 0.14354590920814914, 0.10854384337836216
1991, 0.08534385245711686, 0.09240654398976884, 0.14611823752368086, 0.11559054569855676, 0.14336028287235072, 0.108428834017542
1992, 0.08526108743097625, 0.09243584631205008, 0.14590002543374078, 0.11549605061410037, 0.15699134808785384, 0.12106999461467469
1993, 0.0844716615349064, 0.09205051986589471, 0.1451146954619396, 0.11516384352869391, 0.16747812137983395, 0.13550187507243253
1994, 0.08460779801658956, 0.09205141217644675, 0.1451146978890227, 0.11516384805873406, 0.16773619126615003, 0.13586562584329667
1995, 0.08472460911353229, 0.09205308688134851, 0.14511469585704617, 0.1151638454045411, 0.16801068486455037, 0.13588057975994933
1996, 0.07950373072928221, 0.09019970271326883, 0.13952554639487943, 0.11258560540410392, 0.16399409762815334, 0.13485291042452124
1997, 0.09870268341247683, 0.10278899004207649, 0.1411034552056379, 0.11293250922939936, 0.16360445089259884, 0.1347066402505402
1998, 0.09884045648459713, 0.10279591355605877, 0.1432888878587454, 0.1136013791468145, 0.16451676972462156, 0.13497831109052288
1999, 0.09892427763426638, 0.10278989094154646, 0.14606974545839682, 0.11436627450154592, 0.16837588744299326, 0.13631009718301096
2000, 0.09890977341000641, 0.10278335144931265, 0.15852482991404387, 0.12142355431548348, 0.17283290341322427, 0.13811630400533803
2001, 0.09893220389889142, 0.10277847096912952, 0.17906797196466148, 0.14157640361171164, 0.1789701926613719, 0.13992082029713374
2002, 0.09887577593765473, 0.10261847153292832, 0.1999959293213232, 0.1681547493684153, 0.1814264074231408, 0.14102197050251727
