Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1960, 0.0711305659716017, 0.028898271234112958, 0.07383411644832225, 0.027763065944909543, 0.07928764182768445, 0.029255123701866136
1961, 0.07118166749787966, 0.02890251080442928, 0.07388512673900512, 0.02774936560751465, 0.07917703143587768, 0.029149829189533863
1962, 0.07109068803782309, 0.028862121382857504, 0.07404095668508848, 0.027773553165437673, 0.07901515245796248, 0.02905282263850097
1963, 0.07104742006606356, 0.02884893554203771, 0.0743516202391428, 0.02789563981508297, 0.0788261259182878, 0.028954145653893905
1964, 0.07131014329081574, 0.02899446041031136, 0.07491068616259419, 0.028131350329261395, 0.07960819158943318, 0.02931921256474979
1965, 0.07165615500847566, 0.02915764631125147, 0.07561318504760543, 0.02840893647899862, 0.0797754862262806, 0.02932518997760127
1966, 0.07182120930371814, 0.029225185615156402, 0.07563009550531599, 0.028451796978445035, 0.07973603970222015, 0.029318557423588985
1967, 0.07213856792727451, 0.02932766360661849, 0.0756524039592051, 0.0284691298700333, 0.07969570722061099, 0.0292832869226017
1968, 0.07234414577665464, 0.02940771424577967, 0.07572670871287256, 0.028511779789917802, 0.07971437300376483, 0.02927191858987132
1969, 0.07262279722294493, 0.0295403131941803, 0.07585624172945034, 0.028592808222183158, 0.07984734758802949, 0.029311502543778074
1970, 0.07251590588020666, 0.02942823460223316, 0.07590893037119761, 0.028617636385106397, 0.07958856381483989, 0.029126961611993633
1971, 0.07279943425488496, 0.02957202474778619, 0.0763945613024852, 0.028883353902869946, 0.07994811219842105, 0.02929681404646497
1972, 0.0727036168966269, 0.029521137255697386, 0.07663117774855835, 0.028930486767047466, 0.07982680320713784, 0.02923215961835123
1973, 0.07259068112789317, 0.029487997298904393, 0.07677243211937038, 0.02896802374164386, 0.07993448836521796, 0.029271622445741025
1974, 0.07285211639729675, 0.029693843535129598, 0.07713282501475655, 0.02913331738742457, 0.08031594655908911, 0.029470430459692224
1975, 0.07331805063143941, 0.029956945712354098, 0.07734087408134993, 0.029246477278051058, 0.0805435576914209, 0.02961920672506476
1976, 0.07366571509067855, 0.030152073161345855, 0.07749646898493488, 0.029335157673932372, 0.08118130755151395, 0.029891095699080456
1977, 0.0737914508901878, 0.03027877937969945, 0.07739566620159602, 0.029357981142889553, 0.08137715320337936, 0.029973082852584175
1978, 0.07351913722836433, 0.030122398163358804, 0.07702248147254065, 0.02916763534977218, 0.08089845440604147, 0.029678464472451125
1979, 0.07374534713344255, 0.030274038667180415, 0.07726252593310863, 0.029285102412704492, 0.08132410077311115, 0.02982508770718622
1980, 0.07413944508620152, 0.03052095027019479, 0.07753564801663665, 0.029433557492106355, 0.08227293439548179, 0.0301487833269823
1981, 0.0743946228695639, 0.03071167805977906, 0.07760314157785604, 0.029467438079379727, 0.08257051788093535, 0.030281216753011365
1982, 0.07456978744455178, 0.030885389362042708, 0.07768464085745858, 0.029520882874798607, 0.08294837013955693, 0.03043313625957728
1983, 0.0745038492608807, 0.030902342272112852, 0.0775424897302829, 0.029503381547926682, 0.0829830970558494, 0.030444655292854728
1984, 0.07470471779278792, 0.031112114358451754, 0.07766642711312624, 0.029655106268974416, 0.08299965728744448, 0.030510470828319314
1985, 0.07465201088156931, 0.031193118459294875, 0.07751825580898095, 0.02964165413012543, 0.08266084485674648, 0.030394512016401018
1986, 0.07495578927966227, 0.03144466695246193, 0.07763536975465765, 0.02977714955765761, 0.08334105061842932, 0.030668981938529752
1987, 0.0751043747089318, 0.031634261516854285, 0.07755322470210994, 0.02981573710815549, 0.08414498301065466, 0.030918900088549882
1988, 0.07492647185525862, 0.03161669258834432, 0.07705385252664362, 0.029643655547235748, 0.08415896557802607, 0.030930675390126044
1989, 0.07461643514075982, 0.03154675158345089, 0.07674976441091581, 0.029529270763442333, 0.08415859944297249, 0.030943954524928263
1990, 0.07444869112365671, 0.03161068537995086, 0.07683936398208616, 0.02962978623461946, 0.08417524336650063, 0.031013376316999106
1991, 0.07456601274757191, 0.03182545051387325, 0.07717567292896374, 0.02985690752130805, 0.08432872826785832, 0.03113268367677266
1992, 0.07465263412505795, 0.03204185255682031, 0.07723800261277555, 0.029945299625799397, 0.08435642222064325, 0.0311854684869282
1993, 0.07454495119360936, 0.03212024717795491, 0.0772272890496269, 0.030025748485300627, 0.08429147115833042, 0.031175313068263124
1994, 0.07467178235354399, 0.032354487375187736, 0.07735556481796711, 0.03021339655759373, 0.08486740544209877, 0.03136612161789088
1995, 0.07456713452575828, 0.032462133166739425, 0.07715060061739318, 0.030216415398956614, 0.08533458852014203, 0.03153258179789529
1996, 0.07438300745384736, 0.03255393768883252, 0.07701483845811655, 0.030237244772305393, 0.08591154043149342, 0.031785305807454076
1997, 0.07443110263255269, 0.03265677695750671, 0.07754948176943725, 0.030517989985490598, 0.08661239976526598, 0.0321478808315291
1998, 0.07429741301520637, 0.032648643016697856, 0.07777712193268668, 0.030689317727765585, 0.08663747332204356, 0.032200984760809834
1999, 0.07434305896372519, 0.0327355282811125, 0.0781089791611396, 0.030901621864434403, 0.08653689354917465, 0.03220056467399096
2000, 0.07453582470023738, 0.0328152998716446, 0.07847822950134944, 0.031058094768472665, 0.08644527827275078, 0.03222885330411414
2001, 0.07458755721544609, 0.032828393560739265, 0.07847042021775802, 0.03101405792928759, 0.08613998038861907, 0.03218733747165728
2002, 0.0746927734510907, 0.03282230810818535, 0.07868647086635083, 0.030994999248354516, 0.08606022561149167, 0.032157864034842436
